country,ISO_code,region,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
El Salvador,SLV,Latin America & the Caribbean,2015,4.508987568,6.5,10,9.212962963,8,8.964285714,7.5,8.452581111,3.695250339,9.584824397,7.660097707,6.325231424,7.11997176,75,7.14,69,7.12998588,65,2
Estonia,EST,Eastern Europe,2015,7.576379547,9.574248415,10,8.385185185,9.5,9.619047619,9.25,5.893282681,7.509630596,9.489331062,8.538518317,8.196134081,8.963080271,21,7.93,10,8.446540136,16,1
Ethiopia,ETH,Sub-Saharan Africa,2015,3.041632015,6.919794484,6.666666667,6.374074074,1.5,5.45219934,6.666666667,6.622004484,4.607092409,5.49106474,4.971753193,6.042669411,5.156317299,146,5.55,147,5.35315865,148,4
Fiji,FJI,Oceania,2015,4.536762412,8.86562257,8.333333333,9.055555556,,7.416666667,10,6.189942366,6.121082837,6.343769009,6.64619929,8.820926208,7.70129069,58,6.82,84,7.260645345,58,2
Finland,FIN,Western Europe,2015,8.670918629,9.798124871,10,8.953703704,10,9.702380952,9.25,4.127550513,8.881498661,9.604256393,8.24015866,7.675031453,9.407869341,1,7.71,20,8.55893467,6,1
France,FRA,Western Europe,2015,6.91161032,9.704106536,10,7.298518519,10,7.75,10,4.194322649,7.065324981,9.765807751,8.248059503,7.494228997,8.658781066,33,7.35,50,8.004390533,35,1
Gabon,GAB,Sub-Saharan Africa,2015,4.368388171,8.038732871,0,8.55,4,6.285714286,3.333333333,6.268492547,3.900636296,6.431658009,5.691934877,6.614898571,5.318685022,143,5.78,134,5.549342511,143,4
Gambia,GMB,Sub-Saharan Africa,2015,4.174368201,6.160643405,6.666666667,8.511111111,,2.833333333,5,7.475759865,5.259634324,9.187328213,7.378835189,6.781820836,5.46014179,139,7.22,63,6.340070895,115,3
Georgia,GEO,Caucasus & Central Asia,2015,5.952242489,8.701384395,8.333333333,7.635555556,8.5,8.666666667,8,7.635342769,6.568152767,8.990327388,8.664168807,8.042172585,7.776962277,52,7.98,9,7.878481138,39,1
Germany,DEU,Western Europe,2015,8.300566731,9.878752348,10,8.103703704,10,9.357142857,10,5.511018212,7.445366969,9.649703585,7.92058469,7.846373993,9.290914426,8,7.67,24,8.480457213,13,1
Ghana,GHA,Sub-Saharan Africa,2015,5.315316304,9.008827092,10,7.987037037,7.5,8.315412622,7.5,6.966753486,5.44184396,6.867122454,6.514389495,6.809536821,7.711280815,56,6.52,105,7.115640407,67,2
Greece,GRC,Eastern Europe,2015,5.947156917,8.99605449,10,8.038888889,10,8.571428571,6.75,3.887538532,5.979854238,8.345815591,7.636024044,6.398029053,8.071834598,43,6.45,111,7.260917299,58,2
Guatemala,GTM,Latin America & the Caribbean,2015,3.920832239,6.333333333,10,9.027777778,7.5,6.892857143,6.25,9.486573245,4.482661786,9.629630157,8.221844681,6.64878242,6.530604885,100,7.69,22,7.110302443,68,2
Guinea,GIN,Sub-Saharan Africa,2015,3.346386441,7.028251798,3.333333333,8.675925926,9,6.988095238,1.666666667,6.398039216,2.976011266,7.780836612,4.952528144,6.608530123,5.560061676,136,5.74,141,5.650030838,140,4
